doc_idx,run,split_score
0,0,2.74
0,1,2.283
0,2,3.0
1,0,3.0
1,1,1.702
1,2,2.715
2,0,1.348
2,1,2.481
2,2,1.763
3,0,1.959
3,1,2.162
3,2,1.681
4,0,2.466
4,1,2.929
4,2,2.52
5,0,2.601
5,1,1.845
5,2,2.568
6,0,1.702
6,1,2.269
6,2,2.303
7,0,2.592
7,1,2.112
7,2,1.478
8,0,2.838
8,1,1.774
8,2,2.472
9,0,2.719
9,1,2.225
9,2,2.931
10,0,1.452
10,1,2.232
10,2,1.197
11,0,3.0
11,1,2.198
11,2,1.931
12,0,1.675
12,1,1.955
12,2,2.306
13,0,2.292
13,1,1.922
13,2,3.0
14,0,2.86
14,1,2.645
14,2,1.543
15,0,2.433
15,1,2.664
15,2,2.904
16,0,0.884
16,1,2.164
16,2,1.378
17,0,1.747
17,1,2.229
17,2,2.458
18,0,2.317
18,1,3.0
18,2,2.166
19,0,1.599
19,1,2.911
19,2,2.916
20,0,1.661
20,1,3.0
20,2,2.576
21,0,2.09
21,1,3.0
21,2,2.28
22,0,2.608
22,1,1.813
22,2,2.608
23,0,3.0
23,1,1.763
23,2,2.421
24,0,1.744
24,1,2.574
24,2,2.998
25,0,1.386
25,1,1.764
25,2,2.416
26,0,2.797
26,1,2.241
26,2,1.156
27,0,3.0
27,1,1.826
27,2,2.001
28,0,2.996
28,1,2.158
28,2,2.117
29,0,2.538
29,1,2.234
29,2,2.132
30,0,1.714
30,1,2.715
30,2,1.477
31,0,2.395
31,1,2.249
31,2,2.468
32,0,1.999
32,1,1.634
32,2,1.987
33,0,1.954
33,1,1.0
33,2,1.378
34,0,1.559
34,1,1.912
34,2,2.208
35,0,2.409
35,1,2.975
35,2,2.333
36,0,2.814
36,1,2.705
36,2,1.342
37,0,1.893
37,1,2.23
37,2,2.009
38,0,2.113
38,1,1.476
38,2,1.789
39,0,2.449
39,1,2.078
39,2,1.425
40,0,2.745
40,1,2.565
40,2,1.351
41,0,3.0
41,1,1.827
41,2,2.616
42,0,2.268
42,1,2.297
42,2,2.037
43,0,1.725
43,1,2.391
43,2,2.208
44,0,1.842
44,1,1.796
44,2,2.858
45,0,2.689
45,1,2.094
45,2,1.044
46,0,2.046
46,1,2.182
46,2,2.25
47,0,1.506
47,1,1.405
47,2,1.953
48,0,1.141
48,1,2.416
48,2,2.584
49,0,2.929
49,1,1.963
49,2,2.111
