doc_idx,run,split_score
0,0,2.241
0,1,2.644
0,2,1.946
1,0,1.568
1,1,1.981
1,2,1.998
2,0,1.908
2,1,1.603
2,2,2.287
3,0,2.076
3,1,1.165
3,2,1.184
4,0,2.242
4,1,2.22
4,2,2.0
5,0,1.386
5,1,1.218
5,2,1.834
6,0,1.971
6,1,1.767
6,2,3.0
7,0,1.534
7,1,3.0
7,2,2.291
8,0,2.641
8,1,1.728
8,2,1.695
9,0,1.877
9,1,2.017
9,2,1.835
10,0,1.97
10,1,2.887
10,2,1.582
11,0,2.018
11,1,1.202
11,2,2.047
12,0,2.249
12,1,1.664
12,2,1.323
13,0,1.495
13,1,2.136
13,2,2.305
14,0,2.816
14,1,1.841
14,2,2.076
15,0,1.406
15,1,1.721
15,2,2.027
16,0,2.895
16,1,2.211
16,2,0.998
17,0,2.242
17,1,2.084
17,2,1.005
18,0,2.397
18,1,1.941
18,2,1.733
19,0,1.677
19,1,2.348
19,2,1.862
20,0,1.257
20,1,2.596
20,2,1.869
21,0,2.291
21,1,2.493
21,2,1.729
22,0,2.29
22,1,1.652
22,2,2.068
23,0,1.685
23,1,2.426
23,2,2.47
24,0,2.232
24,1,1.441
24,2,2.799
25,0,1.298
25,1,1.783
25,2,2.036
26,0,1.01
26,1,1.376
26,2,1.372
27,0,2.107
27,1,2.825
27,2,0.924
28,0,2.591
28,1,1.879
28,2,1.506
29,0,2.033
29,1,1.562
29,2,3.0
30,0,1.433
30,1,1.561
30,2,2.16
31,0,2.675
31,1,1.582
31,2,2.377
32,0,2.178
32,1,2.22
32,2,2.594
33,0,0.963
33,1,1.915
33,2,1.662
34,0,1.422
34,1,1.697
34,2,2.407
35,0,1.351
35,1,2.065
35,2,2.014
36,0,1.317
36,1,2.129
36,2,2.259
37,0,2.232
37,1,2.654
37,2,1.678
38,0,2.374
38,1,2.394
38,2,1.1
39,0,2.574
39,1,2.787
39,2,1.494
40,0,2.709
40,1,1.674
40,2,2.116
41,0,1.885
41,1,1.519
41,2,2.879
42,0,2.082
42,1,2.738
42,2,2.482
43,0,1.576
43,1,1.421
43,2,1.029
44,0,2.711
44,1,3.0
44,2,1.559
45,0,2.061
45,1,1.588
45,2,2.496
46,0,2.266
46,1,1.778
46,2,1.894
47,0,2.849
47,1,1.502
47,2,1.484
48,0,1.655
48,1,2.523
48,2,0.571
49,0,1.419
49,1,1.853
49,2,2.273
