doc_idx,run,split_score
0,0,1.624
0,1,1.922
0,2,2.141
1,0,0.973
1,1,1.904
1,2,2.268
2,0,0.977
2,1,2.069
2,2,2.469
3,0,2.562
3,1,2.443
3,2,1.833
4,0,2.194
4,1,1.942
4,2,1.277
5,0,1.333
5,1,1.597
5,2,2.79
6,0,2.507
6,1,2.178
6,2,1.563
7,0,2.196
7,1,2.304
7,2,0.728
8,0,2.674
8,1,3.0
8,2,1.74
9,0,1.948
9,1,3.0
9,2,3.0
10,0,3.0
10,1,2.564
10,2,3.0
11,0,2.266
11,1,2.593
11,2,1.839
12,0,1.882
12,1,1.302
12,2,2.113
13,0,1.97
13,1,2.134
13,2,1.812
14,0,1.589
14,1,2.026
14,2,3.0
15,0,2.059
15,1,2.276
15,2,2.217
16,0,3.0
16,1,2.486
16,2,2.76
17,0,3.0
17,1,0.767
17,2,3.0
18,0,1.616
18,1,2.726
18,2,0.855
19,0,1.483
19,1,2.17
19,2,2.77
20,0,1.698
20,1,2.452
20,2,2.599
21,0,3.0
21,1,1.535
21,2,1.464
22,0,2.365
22,1,2.553
22,2,2.597
23,0,2.751
23,1,2.461
23,2,2.233
24,0,2.635
24,1,1.581
24,2,0.531
25,0,2.053
25,1,1.728
25,2,2.166
26,0,3.0
26,1,2.147
26,2,2.383
27,0,2.311
27,1,1.592
27,2,1.968
28,0,1.864
28,1,2.816
28,2,1.67
29,0,1.763
29,1,2.656
29,2,2.952
30,0,2.756
30,1,3.0
30,2,1.452
31,0,2.584
31,1,2.792
31,2,2.937
32,0,1.534
32,1,1.771
32,2,2.011
33,0,2.381
33,1,1.942
33,2,2.095
34,0,2.384
34,1,2.356
34,2,1.888
35,0,1.063
35,1,2.02
35,2,2.271
36,0,2.317
36,1,1.41
36,2,1.87
37,0,3.0
37,1,2.101
37,2,2.304
38,0,2.271
38,1,2.325
38,2,2.142
39,0,2.217
39,1,1.936
39,2,2.812
40,0,0.862
40,1,2.579
40,2,2.46
41,0,2.036
41,1,3.0
41,2,2.167
42,0,2.156
42,1,3.0
42,2,2.154
43,0,1.866
43,1,1.154
43,2,2.285
44,0,2.574
44,1,2.987
44,2,2.857
45,0,2.91
45,1,2.919
45,2,2.369
46,0,2.922
46,1,1.849
46,2,2.815
47,0,2.764
47,1,1.933
47,2,2.28
48,0,2.476
48,1,1.931
48,2,2.278
49,0,1.764
49,1,2.328
49,2,2.408
