doc_idx,run,split_score
0,0,2.435
0,1,2.219
0,2,2.436
1,0,2.662
1,1,2.405
1,2,2.54
2,0,2.422
2,1,2.188
2,2,1.903
3,0,2.205
3,1,1.482
3,2,2.246
4,0,3.0
4,1,2.004
4,2,2.908
5,0,1.972
5,1,1.574
5,2,2.753
6,0,1.014
6,1,2.986
6,2,2.682
7,0,2.658
7,1,2.694
7,2,1.338
8,0,2.449
8,1,2.03
8,2,2.499
9,0,2.517
9,1,1.311
9,2,1.781
10,0,2.351
10,1,2.618
10,2,2.41
11,0,2.262
11,1,1.983
11,2,0.996
12,0,2.218
12,1,2.555
12,2,1.237
13,0,1.973
13,1,2.42
13,2,3.0
14,0,2.732
14,1,2.821
14,2,1.681
15,0,2.56
15,1,2.42
15,2,2.228
16,0,2.101
16,1,2.046
16,2,2.621
17,0,1.614
17,1,2.722
17,2,2.71
18,0,1.997
18,1,2.473
18,2,2.354
19,0,2.214
19,1,2.317
19,2,1.323
20,0,1.71
20,1,2.602
20,2,2.245
21,0,2.174
21,1,1.635
21,2,1.627
22,0,0.919
22,1,2.25
22,2,2.171
23,0,1.437
23,1,2.404
23,2,1.058
24,0,1.236
24,1,1.872
24,2,2.497
25,0,2.541
25,1,2.167
25,2,2.619
26,0,2.201
26,1,2.901
26,2,1.834
27,0,2.438
27,1,1.889
27,2,2.572
28,0,1.378
28,1,2.065
28,2,2.203
29,0,2.056
29,1,2.376
29,2,2.332
30,0,2.203
30,1,2.136
30,2,2.128
31,0,1.866
31,1,1.92
31,2,1.588
32,0,2.438
32,1,2.956
32,2,1.668
33,0,2.474
33,1,2.65
33,2,1.496
34,0,2.027
34,1,2.077
34,2,2.181
35,0,1.978
35,1,1.566
35,2,2.019
36,0,1.763
36,1,1.936
36,2,2.047
37,0,2.599
37,1,1.396
37,2,2.042
38,0,2.575
38,1,3.0
38,2,1.793
39,0,1.679
39,1,2.141
39,2,2.558
40,0,2.588
40,1,2.081
40,2,2.335
41,0,2.698
41,1,1.797
41,2,2.889
42,0,2.531
42,1,3.0
42,2,1.219
43,0,1.473
43,1,2.243
43,2,2.728
44,0,2.127
44,1,2.545
44,2,2.986
45,0,2.282
45,1,1.903
45,2,2.61
46,0,2.132
46,1,1.434
46,2,2.201
47,0,1.898
47,1,2.339
47,2,2.625
48,0,1.899
48,1,2.44
48,2,2.504
49,0,3.0
49,1,1.023
49,2,2.213
