doc_idx,run,split_score
0,0,1.517
0,1,1.406
0,2,1.644
1,0,2.626
1,1,2.751
1,2,2.698
2,0,2.0
2,1,2.824
2,2,2.069
3,0,2.437
3,1,2.251
3,2,2.255
4,0,1.814
4,1,2.465
4,2,2.862
5,0,1.733
5,1,1.275
5,2,2.941
6,0,2.58
6,1,3.0
6,2,2.497
7,0,1.37
7,1,1.484
7,2,1.785
8,0,1.252
8,1,2.104
8,2,2.623
9,0,1.246
9,1,1.685
9,2,2.265
10,0,1.869
10,1,2.155
10,2,2.242
11,0,1.657
11,1,2.348
11,2,2.348
12,0,0.486
12,1,1.742
12,2,1.796
13,0,1.504
13,1,1.575
13,2,2.765
14,0,1.773
14,1,2.227
14,2,1.825
15,0,2.078
15,1,1.748
15,2,1.5
16,0,2.504
16,1,2.559
16,2,2.098
17,0,2.671
17,1,1.48
17,2,1.493
18,0,1.539
18,1,2.797
18,2,2.057
19,0,1.068
19,1,2.313
19,2,1.856
20,0,2.409
20,1,1.714
20,2,2.127
21,0,1.689
21,1,1.438
21,2,2.953
22,0,2.071
22,1,2.039
22,2,2.612
23,0,2.543
23,1,2.293
23,2,1.768
24,0,2.567
24,1,2.004
24,2,3.0
25,0,1.767
25,1,2.439
25,2,2.876
26,0,2.083
26,1,2.41
26,2,2.028
27,0,3.0
27,1,2.178
27,2,2.295
28,0,2.173
28,1,1.443
28,2,1.511
29,0,1.438
29,1,2.22
29,2,2.301
30,0,1.872
30,1,2.5
30,2,2.369
31,0,2.327
31,1,2.213
31,2,2.028
32,0,0.988
32,1,2.082
32,2,2.132
33,0,3.0
33,1,2.371
33,2,2.316
34,0,1.733
34,1,1.709
34,2,2.338
35,0,1.794
35,1,2.395
35,2,0.397
36,0,2.551
36,1,2.581
36,2,2.215
37,0,2.837
37,1,2.621
37,2,2.184
38,0,1.736
38,1,2.045
38,2,1.363
39,0,2.015
39,1,2.618
39,2,1.828
40,0,1.97
40,1,1.437
40,2,1.899
41,0,2.206
41,1,3.0
41,2,2.407
42,0,2.374
42,1,1.607
42,2,2.311
43,0,2.443
43,1,1.685
43,2,1.679
44,0,2.54
44,1,2.116
44,2,1.519
45,0,2.015
45,1,2.288
45,2,3.0
46,0,0.825
46,1,2.93
46,2,2.181
47,0,2.24
47,1,1.318
47,2,2.671
48,0,0.745
48,1,1.993
48,2,2.453
49,0,2.105
49,1,1.885
49,2,1.899
