doc_idx,run,split_score
0,0,2.892
0,1,1.719
0,2,1.855
1,0,0.939
1,1,1.368
1,2,1.489
2,0,1.846
2,1,2.921
2,2,2.723
3,0,1.516
3,1,2.065
3,2,1.688
4,0,1.837
4,1,1.845
4,2,0.39
5,0,2.504
5,1,1.958
5,2,1.408
6,0,2.201
6,1,1.947
6,2,2.029
7,0,2.606
7,1,1.798
7,2,1.449
8,0,1.856
8,1,2.844
8,2,2.297
9,0,1.747
9,1,1.778
9,2,1.885
10,0,1.566
10,1,2.348
10,2,1.449
11,0,2.093
11,1,2.262
11,2,0.564
12,0,1.109
12,1,1.624
12,2,2.402
13,0,1.574
13,1,1.522
13,2,1.037
14,0,1.912
14,1,1.415
14,2,1.587
15,0,2.36
15,1,1.369
15,2,2.913
16,0,1.917
16,1,1.962
16,2,1.351
17,0,1.602
17,1,2.856
17,2,1.775
18,0,1.907
18,1,1.163
18,2,3.0
19,0,2.091
19,1,1.063
19,2,2.378
20,0,1.922
20,1,2.409
20,2,1.107
21,0,2.034
21,1,1.376
21,2,1.736
22,0,1.975
22,1,2.209
22,2,0.773
23,0,1.54
23,1,2.038
23,2,2.081
24,0,2.213
24,1,1.378
24,2,2.31
25,0,1.946
25,1,2.065
25,2,1.434
26,0,2.876
26,1,1.858
26,2,0.934
27,0,3.0
27,1,0.745
27,2,3.0
28,0,1.958
28,1,1.216
28,2,3.0
29,0,1.986
29,1,2.038
29,2,1.849
30,0,1.741
30,1,1.557
30,2,1.946
31,0,2.242
31,1,2.062
31,2,1.555
32,0,1.516
32,1,1.968
32,2,1.703
33,0,1.988
33,1,1.685
33,2,2.314
34,0,1.609
34,1,2.337
34,2,0.875
35,0,1.902
35,1,2.695
35,2,2.163
36,0,1.672
36,1,2.501
36,2,2.805
37,0,1.9
37,1,2.773
37,2,2.41
38,0,0.404
38,1,2.161
38,2,2.604
39,0,1.497
39,1,1.835
39,2,1.44
40,0,1.315
40,1,1.939
40,2,0.924
41,0,1.536
41,1,2.16
41,2,1.973
42,0,1.365
42,1,1.783
42,2,2.556
43,0,1.659
43,1,2.276
43,2,1.904
44,0,2.331
44,1,2.082
44,2,0.505
45,0,1.427
45,1,0.993
45,2,1.681
46,0,0.0
46,1,1.854
46,2,2.122
47,0,2.057
47,1,1.804
47,2,1.369
48,0,2.197
48,1,1.976
48,2,1.937
49,0,2.407
49,1,1.307
49,2,1.77
