doc_idx,run,split_score
0,0,2.195
0,1,2.18
0,2,1.699
1,0,1.258
1,1,1.555
1,2,1.54
2,0,2.215
2,1,2.025
2,2,0.983
3,0,2.624
3,1,2.546
3,2,2.245
4,0,2.157
4,1,1.457
4,2,2.055
5,0,1.337
5,1,1.91
5,2,2.418
6,0,1.939
6,1,1.767
6,2,2.08
7,0,1.947
7,1,2.508
7,2,1.371
8,0,1.925
8,1,1.84
8,2,1.514
9,0,1.955
9,1,2.858
9,2,1.823
10,0,1.766
10,1,1.81
10,2,1.946
11,0,2.36
11,1,1.493
11,2,2.116
12,0,1.863
12,1,1.472
12,2,1.863
13,0,2.302
13,1,2.32
13,2,2.027
14,0,2.53
14,1,1.931
14,2,2.667
15,0,3.0
15,1,1.25
15,2,1.805
16,0,3.0
16,1,2.245
16,2,1.856
17,0,2.045
17,1,1.637
17,2,2.386
18,0,1.058
18,1,2.312
18,2,2.257
19,0,1.557
19,1,1.385
19,2,2.98
20,0,2.354
20,1,1.369
20,2,2.308
21,0,1.773
21,1,1.116
21,2,1.288
22,0,1.397
22,1,1.569
22,2,1.605
23,0,2.356
23,1,1.204
23,2,1.252
24,0,1.77
24,1,2.448
24,2,1.8
25,0,2.474
25,1,1.716
25,2,1.559
26,0,2.358
26,1,1.852
26,2,2.941
27,0,1.848
27,1,2.216
27,2,1.967
28,0,2.118
28,1,1.575
28,2,2.086
29,0,1.732
29,1,1.543
29,2,1.224
30,0,1.576
30,1,1.666
30,2,2.188
31,0,1.802
31,1,2.482
31,2,2.428
32,0,2.168
32,1,1.976
32,2,2.098
33,0,2.276
33,1,1.604
33,2,2.356
34,0,2.276
34,1,1.975
34,2,1.936
35,0,2.253
35,1,2.601
35,2,1.589
36,0,2.183
36,1,2.36
36,2,2.495
37,0,2.579
37,1,1.733
37,2,2.776
38,0,1.446
38,1,1.277
38,2,2.732
39,0,0.6
39,1,1.349
39,2,2.283
40,0,2.861
40,1,1.855
40,2,2.642
41,0,1.755
41,1,1.731
41,2,2.098
42,0,3.0
42,1,1.233
42,2,1.613
43,0,2.739
43,1,1.685
43,2,2.24
44,0,1.835
44,1,2.395
44,2,3.0
45,0,3.0
45,1,0.741
45,2,1.814
46,0,3.0
46,1,1.724
46,2,1.526
47,0,2.494
47,1,1.517
47,2,1.855
48,0,1.591
48,1,2.37
48,2,2.713
49,0,2.064
49,1,1.196
49,2,1.95
