doc_idx,run,split_score
0,0,1.745
0,1,1.637
0,2,1.713
1,0,1.52
1,1,2.544
1,2,2.334
2,0,1.034
2,1,2.439
2,2,3.0
3,0,2.244
3,1,1.984
3,2,1.845
4,0,2.688
4,1,0.967
4,2,1.255
5,0,1.967
5,1,1.955
5,2,2.168
6,0,0.712
6,1,1.3
6,2,2.477
7,0,1.627
7,1,1.264
7,2,2.088
8,0,1.699
8,1,1.956
8,2,1.811
9,0,1.311
9,1,2.112
9,2,2.086
10,0,1.424
10,1,0.892
10,2,1.433
11,0,2.691
11,1,1.353
11,2,1.272
12,0,1.355
12,1,2.682
12,2,1.858
13,0,1.485
13,1,2.642
13,2,1.358
14,0,2.089
14,1,1.58
14,2,2.768
15,0,1.178
15,1,2.128
15,2,2.273
16,0,1.994
16,1,1.585
16,2,2.528
17,0,2.154
17,1,1.919
17,2,2.04
18,0,3.0
18,1,1.62
18,2,2.306
19,0,1.431
19,1,2.096
19,2,2.012
20,0,2.01
20,1,2.192
20,2,2.0
21,0,1.153
21,1,2.728
21,2,1.683
22,0,1.719
22,1,1.78
22,2,2.025
23,0,1.601
23,1,2.324
23,2,1.851
24,0,1.347
24,1,1.804
24,2,2.027
25,0,1.484
25,1,1.611
25,2,2.691
26,0,1.99
26,1,2.7
26,2,2.605
27,0,2.548
27,1,2.279
27,2,2.338
28,0,2.179
28,1,1.143
28,2,0.417
29,0,2.808
29,1,0.943
29,2,0.728
30,0,1.421
30,1,1.091
30,2,1.48
31,0,0.62
31,1,0.852
31,2,2.155
32,0,2.128
32,1,1.498
32,2,1.909
33,0,2.059
33,1,2.36
33,2,2.384
34,0,2.215
34,1,1.781
34,2,1.43
35,0,2.61
35,1,2.087
35,2,2.38
36,0,2.105
36,1,2.454
36,2,0.722
37,0,2.206
37,1,1.607
37,2,1.902
38,0,1.633
38,1,1.496
38,2,1.798
39,0,2.729
39,1,1.048
39,2,1.932
40,0,1.708
40,1,2.095
40,2,2.138
41,0,1.88
41,1,2.223
41,2,2.79
42,0,0.965
42,1,1.832
42,2,1.12
43,0,2.299
43,1,1.872
43,2,0.52
44,0,1.805
44,1,1.912
44,2,1.869
45,0,2.54
45,1,1.441
45,2,1.636
46,0,1.667
46,1,1.719
46,2,2.352
47,0,2.275
47,1,2.637
47,2,2.48
48,0,1.376
48,1,1.841
48,2,1.575
49,0,2.749
49,1,1.899
49,2,1.744
