doc_idx,run,split_score
0,0,2.217
0,1,2.598
0,2,1.813
1,0,2.617
1,1,2.571
1,2,2.638
2,0,1.873
2,1,2.171
2,2,2.072
3,0,2.833
3,1,2.04
3,2,1.988
4,0,2.215
4,1,2.456
4,2,2.468
5,0,1.586
5,1,2.989
5,2,1.521
6,0,2.13
6,1,2.62
6,2,1.866
7,0,3.0
7,1,2.632
7,2,2.776
8,0,1.504
8,1,2.461
8,2,2.325
9,0,1.698
9,1,2.001
9,2,1.167
10,0,1.919
10,1,1.573
10,2,2.382
11,0,2.414
11,1,1.718
11,2,3.0
12,0,2.239
12,1,2.541
12,2,1.806
13,0,2.278
13,1,2.458
13,2,2.519
14,0,1.872
14,1,2.747
14,2,2.336
15,0,1.725
15,1,1.899
15,2,2.925
16,0,3.0
16,1,2.588
16,2,2.902
17,0,2.572
17,1,2.158
17,2,1.843
18,0,2.51
18,1,2.544
18,2,2.57
19,0,1.565
19,1,2.737
19,2,2.157
20,0,1.982
20,1,1.994
20,2,3.0
21,0,2.98
21,1,2.365
21,2,2.277
22,0,2.459
22,1,1.786
22,2,2.532
23,0,2.956
23,1,2.173
23,2,2.43
24,0,3.0
24,1,3.0
24,2,1.304
25,0,3.0
25,1,2.415
25,2,2.218
26,0,2.194
26,1,1.932
26,2,2.594
27,0,2.754
27,1,1.742
27,2,1.683
28,0,2.919
28,1,2.615
28,2,2.627
29,0,1.522
29,1,2.526
29,2,3.0
30,0,1.709
30,1,2.153
30,2,2.469
31,0,1.806
31,1,1.417
31,2,1.689
32,0,2.875
32,1,2.342
32,2,1.946
33,0,2.89
33,1,2.562
33,2,2.686
34,0,3.0
34,1,2.834
34,2,2.262
35,0,2.143
35,1,2.334
35,2,1.708
36,0,1.706
36,1,2.24
36,2,1.873
37,0,1.382
37,1,2.175
37,2,1.837
38,0,2.36
38,1,2.864
38,2,1.176
39,0,2.1
39,1,1.654
39,2,2.965
40,0,2.631
40,1,1.671
40,2,3.0
41,0,2.346
41,1,2.982
41,2,2.302
42,0,1.534
42,1,2.099
42,2,2.055
43,0,2.566
43,1,1.884
43,2,1.98
44,0,2.427
44,1,3.0
44,2,1.979
45,0,1.985
45,1,2.789
45,2,2.325
46,0,2.072
46,1,3.0
46,2,1.124
47,0,1.572
47,1,1.894
47,2,2.789
48,0,2.497
48,1,2.995
48,2,1.838
49,0,1.997
49,1,2.526
49,2,2.878
