doc_idx,run,split_score
0,0,2.704
0,1,2.718
0,2,1.388
1,0,3.0
1,1,2.22
1,2,2.178
2,0,1.279
2,1,1.988
2,2,2.179
3,0,1.871
3,1,3.0
3,2,2.215
4,0,2.946
4,1,2.519
4,2,2.5
5,0,3.0
5,1,1.772
5,2,2.55
6,0,2.41
6,1,2.681
6,2,1.939
7,0,1.419
7,1,2.259
7,2,2.099
8,0,1.795
8,1,1.399
8,2,2.674
9,0,3.0
9,1,1.946
9,2,2.505
10,0,1.795
10,1,2.698
10,2,3.0
11,0,2.109
11,1,2.21
11,2,2.18
12,0,1.797
12,1,2.072
12,2,2.542
13,0,1.433
13,1,1.964
13,2,2.528
14,0,1.757
14,1,2.255
14,2,2.453
15,0,1.947
15,1,2.213
15,2,1.995
16,0,1.96
16,1,1.659
16,2,1.167
17,0,1.824
17,1,0.485
17,2,1.626
18,0,3.0
18,1,2.28
18,2,1.972
19,0,1.744
19,1,2.44
19,2,3.0
20,0,3.0
20,1,1.357
20,2,2.33
21,0,3.0
21,1,3.0
21,2,3.0
22,0,2.408
22,1,2.045
22,2,2.908
23,0,1.796
23,1,2.624
23,2,3.0
24,0,2.296
24,1,2.877
24,2,2.153
25,0,2.486
25,1,2.395
25,2,2.508
26,0,2.287
26,1,2.205
26,2,2.162
27,0,2.215
27,1,2.283
27,2,2.458
28,0,2.066
28,1,2.609
28,2,2.682
29,0,2.248
29,1,2.79
29,2,2.859
30,0,2.282
30,1,1.844
30,2,3.0
31,0,3.0
31,1,2.697
31,2,3.0
32,0,1.495
32,1,2.408
32,2,2.207
33,0,2.35
33,1,2.405
33,2,3.0
34,0,1.779
34,1,2.054
34,2,2.845
35,0,2.92
35,1,3.0
35,2,3.0
36,0,2.712
36,1,1.882
36,2,2.744
37,0,2.266
37,1,1.713
37,2,2.373
38,0,2.045
38,1,2.521
38,2,1.813
39,0,2.492
39,1,2.414
39,2,2.152
40,0,2.266
40,1,1.653
40,2,2.667
41,0,3.0
41,1,1.692
41,2,1.542
42,0,1.552
42,1,2.058
42,2,2.52
43,0,2.508
43,1,1.052
43,2,1.829
44,0,2.772
44,1,2.302
44,2,1.926
45,0,1.045
45,1,3.0
45,2,2.889
46,0,2.931
46,1,2.741
46,2,3.0
47,0,2.784
47,1,2.633
47,2,3.0
48,0,1.179
48,1,3.0
48,2,2.462
49,0,1.582
49,1,2.877
49,2,2.917
