doc_idx,run,split_score
0,0,2.357
0,1,1.173
0,2,2.307
1,0,1.865
1,1,2.057
1,2,2.525
2,0,1.357
2,1,1.651
2,2,2.272
3,0,2.844
3,1,1.131
3,2,2.471
4,0,2.182
4,1,0.927
4,2,2.722
5,0,2.779
5,1,2.064
5,2,2.269
6,0,1.876
6,1,1.392
6,2,1.736
7,0,2.948
7,1,1.657
7,2,2.076
8,0,2.022
8,1,2.348
8,2,1.751
9,0,2.335
9,1,1.707
9,2,2.837
10,0,3.0
10,1,1.648
10,2,2.999
11,0,2.237
11,1,2.136
11,2,1.853
12,0,2.568
12,1,2.146
12,2,2.936
13,0,1.845
13,1,2.288
13,2,2.185
14,0,1.301
14,1,2.378
14,2,1.438
15,0,2.319
15,1,2.688
15,2,2.559
16,0,1.441
16,1,2.549
16,2,2.19
17,0,1.691
17,1,1.984
17,2,2.82
18,0,2.099
18,1,2.29
18,2,2.493
19,0,1.413
19,1,2.265
19,2,2.601
20,0,2.396
20,1,2.741
20,2,2.78
21,0,2.555
21,1,1.718
21,2,1.839
22,0,2.814
22,1,1.955
22,2,3.0
23,0,2.061
23,1,2.835
23,2,1.357
24,0,2.209
24,1,1.434
24,2,1.885
25,0,1.995
25,1,1.473
25,2,2.541
26,0,1.828
26,1,2.69
26,2,3.0
27,0,2.338
27,1,2.253
27,2,3.0
28,0,3.0
28,1,2.259
28,2,1.746
29,0,3.0
29,1,2.13
29,2,1.15
30,0,2.701
30,1,2.899
30,2,2.276
31,0,2.606
31,1,2.001
31,2,1.955
32,0,1.106
32,1,2.554
32,2,1.273
33,0,2.281
33,1,2.404
33,2,2.369
34,0,0.981
34,1,3.0
34,2,2.281
35,0,1.855
35,1,2.193
35,2,2.531
36,0,2.709
36,1,2.547
36,2,2.193
37,0,1.65
37,1,2.605
37,2,0.756
38,0,1.656
38,1,2.152
38,2,2.479
39,0,2.159
39,1,3.0
39,2,1.728
40,0,2.095
40,1,1.514
40,2,2.796
41,0,3.0
41,1,2.452
41,2,2.399
42,0,2.088
42,1,1.618
42,2,3.0
43,0,2.222
43,1,1.861
43,2,1.375
44,0,1.578
44,1,2.535
44,2,2.093
45,0,1.357
45,1,2.952
45,2,1.757
46,0,2.792
46,1,2.288
46,2,1.567
47,0,3.0
47,1,2.713
47,2,2.066
48,0,2.926
48,1,1.754
48,2,2.127
49,0,2.287
49,1,2.069
49,2,1.306
